日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2026/2/17,8:48,10:24,盛岡,秋田,,,JR東日本,秋田新幹線,新幹線,こまち1号,3001M,15,3,7,Z1,Z1,E627-1,127.3,盛岡で分割(編成見てない)
2026/2/17,10:44,14:19,秋田,新潟,,,JR東日本,羽越本線、白新線,特急,いなほ8号,8M,2,6,7,U103,U103,モハE653-1006,273.0,
2026/2/17,14:27,16:28,新潟,東京,,,JR東日本,上越新幹線,新幹線,とき324号,1324C,8,8,12,F20,F20,モハE653-1006,333.9,
2026/2/17,16:47,18:43,東京,熱海,,,JR東日本,東海道本線,普通,,1893E,2,2,15,U512+?,U512,モハE230-3512,104.6,後ろ5両平塚止まり　[延発][5000]を見れた(運転間隔調整)
2026/2/18,8:02,10:34,熱海,浜松,,,JR東海,東海道本線,普通,,429M,,2,4,W3+W7,W3,クモハ313-2301,152.5,
2026/2/18,10:46,11:19,浜松,豊橋,,,JR東海,東海道本線,普通,,949M,,3,3,T1,T1,クモハ313-2501,36.5,
2026/2/18,11:21,12:34,豊橋,岐阜,,,JR東海,東海道本線,新快速,,2317F,,4,6,Y102,Y102,モハ313-5002,102.7,
2026/2/19,10:02,11:06,名鉄岐阜,中部国際空港,,,名古屋鉄道,名古屋本線、常滑線、空港線,特急,,302,1,1,6,2232F,2232F,2232,71.1,特別車
2026/2/19,17:55,18:13,那覇空港,牧志,,,沖縄都市モノレール,沖縄都市モノレール線,普通,,,,2,2,19,19,1119,7.7,
2026/2/21,9:09,9:27,牧志,那覇空港,,,沖縄都市モノレール,沖縄都市モノレール線,普通,,,,1,2,15,15,1115,7.7,
2026/2/22,15:10,15:13,旭橋,県庁前,,,沖縄都市モノレール,沖縄都市モノレール線,普通,,,,1?,2,15?,15?,1215?,0.6,BATTE??のラッピング
2026/2/22,17:21,17:35,県庁前,那覇空港,,,沖縄都市モノレール,沖縄都市モノレール線,普通,,,,1,2,11,11,1111,6.0,
2026/2/22,22:17,23:23,中部国際空港,名鉄岐阜,,,名古屋鉄道,空港線、常滑線、名古屋本線,特急,,423,2,5,6,2202F,2202F,2252,71.1,特別車
2026/3/6,10:34,10:47,岐阜,大垣,,,JR東海,東海道本線,新快速,,2309F,,5,6,?+J162,J162,モハ313-1602,13.7,
2026/3/6,11:11,11:47,大垣,米原,,,JR東海,東海道本線,普通,,219F,2,2,4,C111,C111,モハ315-3511,35.9,
2026/3/6,12:01,12:34,米原,近江塩津,,,JR西日本,北陸本線,新快速,,3240M,4,1,4,V7,V7,クモハ223-3004,31.4,
2026/3/6,13:01,13:15,近江塩津,敦賀,,,JR西日本,北陸本線,新快速,,3146M,2,3,4,V2,V2,モハ223-1004,14.5,
2026/3/6,13:20,14:11,敦賀,福井,,,ハピラインふくい,ハピラインふくい線,普通,,1247M,2,1,2,HF10,HF10,クモハ521-46,54.0,
2026/3/6,15:15,16:37,福井,金沢,,,ハピラインふくい、IRいしかわ鉄道,ハピラインふくい線、IRいしかわ鉄道線,普通,,1343M,2,1,2,HF09,HF09,クモハ521-45,76.7,
