日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2026/8/12,7:45,10:42,佐伯,中津,,,,,,,4634M,,1,2,N021,N021,クモハ815-21,146.0,
2026/8/12,11:15,12:21,中津,小倉,,,,,,,2544M,,3,3,R3420,R3420,クモハ813-3420,51.8,
2026/8/12,12:38,12:57,小倉,下関,,,,,,,5158M,,2,4,Fo1509,Fo1509,モハ415-1509,11.8,
2026/8/12,13:25,17:02,下関,岩国,,,,,,,3332M,1,,3,V04,V04,クモハ226-588,182.0,
2026/8/12,17:10,18:02,岩国,西条,,,,,,,1568M,3,,4,A35?+A59,A59,クモハ227-59,73.2,
2026/8/12,18:15,19:36,西条,糸崎,,,,,,,336M,5,,5,A18+S32,A18,クモハ227-18,42.0,
2026/8/12,19:38,21:05,糸崎,岡山,,,,,,,1774M,2,,4,R32+R35,R35,クモハ227-576,87.5,
2026/8/12,21:10,22:33,岡山,姫路,,,,,,,1338M,2,,3,L40,L40,モハ226-553,88.6,
2026/8/13,6:26,7:32,姫路,大阪,,,,,新快速,410号,3410M,1,12,12,V23?+W31,W31,クハ222-2049,87.9,うれしーと
2026/8/13,7:58,12:14,大阪,高山,,,,,特急,ひだ25号,2025D/25D,2,1,2,D105,D105,クモハ85-105,296.5,
